trait_pair	chr	region	start	end	n_snps	eigen_cut	h2_trait1	h2_trait2	local_covariance	local_rg	rg_lower	rg_upper	p	AMD	POAG	RE	bivariate_interpretable	pair_fdr	global_fdr	direction	warning
AMD-RE	1	17	15757044	16729700	370	0.99	4.19743249231703e-05	0.0						0.730763030008666	0.0	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	17	15757044	16729700	370	0.99	0.0	0.0						0.730763030008666	0.0	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	18	16732860	17557657	190	0.99	3.27847167388658e-05	0.0						0.755237965017461	0.999999730973442	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	18	16732860	17557657	190	0.99	3.27847167388658e-05	0.0						0.755237965017461	0.999999730973442	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	18	16732860	17557657	190	0.99	0.0	0.0						0.755237965017461	0.999999730973442	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	19	17557837	18425983	415	0.99	1.96087580082724e-05	0.0						0.0	0.999999341022206	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	19	17557837	18425983	415	0.99	1.96087580082724e-05	0.0						0.0	0.999999341022206	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	19	17557837	18425983	415	0.99	0.0	0.0						0.0	0.999999341022206	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	20	18429437	19237107	460	0.99	0.0	0.0						0.999999341022206	0.999999239077987	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	20	18429437	19237107	460	0.99	0.0	0.0						0.999999341022206	0.999999239077987	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	20	18429437	19237107	460	0.99	0.0	0.0						0.999999341022206	0.999999239077987	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	21	19246539	20556029	569	0.99	0.0	0.0						0.999999619538993	0.999999619538993	0.999998256508638	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	21	19246539	20556029	569	0.99	0.0	0.0						0.999999619538993	0.999999619538993	0.999998256508638	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	21	19246539	20556029	569	0.99	0.0	0.0						0.999999619538993	0.999999619538993	0.999998256508638	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	22	20556762	21410231	387	0.99	0.000273877310715	7.71312370042836e-05	-3.74136192261939e-05	-0.257325732573257	-1.0	1.0	0.739541948602335	0.0	0.500175739239394	0.0	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	22	20556762	21410231	387	0.99	0.000273877310715	0.0						0.0	0.500175739239394	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	22	20556762	21410231	387	0.99	7.71312370042836e-05	0.0						0.0	0.500175739239394	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	23	21416435	22141983	283	0.99	0.0002081132437786	0.0001002815974063	-7.56481252997571e-05	-0.523552355235524	-1.0	1.0	0.592610737637128	0.488958335551311	0.488051220917954	0.999999619538993	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	23	21416435	22141983	283	0.99	0.0002081132437786	0.0						0.488958335551311	0.488051220917954	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	23	21416435	22141983	283	0.99	0.0001002815974063	0.0						0.488958335551311	0.488051220917954	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	24	22147077	22739168	279	0.99	0.0001515668443279	0.0						0.604217247231101	0.999996661468217	0.961574891968445	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	24	22147077	22739168	279	0.99	0.0001515668443279	1.02875862673999e-06	1.2487021207244e-05	1.0	-1.0	1.0	0.694720190875624	0.604217247231101	0.999996661468217	0.961574891968445	False			POSITIVE_LOCAL_SHARING	local_rg_not_estimable
POAG-RE	1	24	22147077	22739168	279	0.99	0.0	1.02875862673999e-06						0.604217247231101	0.999996661468217	0.961574891968445	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	25	22740365	23904345	384	0.99	0.0001433459412595	0.0						0.0	0.999999149263327	0.999998478155974	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	25	22740365	23904345	384	0.99	0.0001433459412595	0.0						0.0	0.999999149263327	0.999998478155974	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	25	22740365	23904345	384	0.99	0.0	0.0						0.0	0.999999149263327	0.999998478155974	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	26	23927929	25860915	652	0.99	0.0007407477803194	6.09733042008958e-05	6.37233507090487e-05	0.2999299929993	-1.0	1.0	0.756298254992872	0.0994132495661196	0.654251953478334	0.999997654680844	False			POSITIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	26	23927929	25860915	652	0.99	0.0007407477803194	0.0						0.0994132495661196	0.654251953478334	0.999997654680844	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	26	23927929	25860915	652	0.99	6.09733042008958e-05	0.0						0.0994132495661196	0.654251953478334	0.999997654680844	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	27	25889422	27971502	631	0.99	0.0012800527939276	7.19343773427091e-05	-0.0001110883348096	-0.366136613661366	-1.0	0.947994799479948	0.616165388654567	7.13134902923214e-05	0.0	0.999998993394793	True	0.8452311518928525	0.8602399293563704	NEGATIVE_LOCAL_SHARING	
AMD-RE	1	27	25889422	27971502	631	0.99	0.0012800527939276	0.0						7.13134902923214e-05	0.0	0.999998993394793	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	27	25889422	27971502	631	0.99	7.19343773427091e-05	0.0						7.13134902923214e-05	0.0	0.999998993394793	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	28	28011854	29185093	241	0.99	4.93214813057268e-05	0.0						0.0	0.999999730973442	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	28	28011854	29185093	241	0.99	4.93214813057268e-05	0.0						0.0	0.999999730973442	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	28	28011854	29185093	241	0.99	0.0	0.0						0.0	0.999999730973442	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	29	29190138	30405167	471	0.99	0.0001785574048673	0.0						0.0	0.999999461946885	0.999998993394793	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	29	29190138	30405167	471	0.99	0.0001785574048673	0.0						0.0	0.999999461946885	0.999998993394793	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	29	29190138	30405167	471	0.99	0.0	0.0						0.0	0.999999461946885	0.999998993394793	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	30	30405460	31633308	596	0.99	0.0	0.0001383946543952						0.0	0.0	0.999999341022206	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	30	30405460	31633308	596	0.99	0.0	0.0						0.0	0.0	0.999999341022206	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	30	30405460	31633308	596	0.99	0.0001383946543952	0.0						0.0	0.0	0.999999341022206	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	31	31650749	33066299	378	0.99	0.0003213497130095	8.4357679256679e-05	-0.0001646460325039	-1.0	-1.0	-0.0491049104910491	0.0432303666467915	0.0	0.484977603583159	0.0	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	31	31650749	33066299	378	0.99	0.0003213497130095	0.0						0.0	0.484977603583159	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	31	31650749	33066299	378	0.99	8.4357679256679e-05	0.0						0.0	0.484977603583159	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	32	33068754	34370091	487	0.99	0.0	0.0004623064117074						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	32	33068754	34370091	487	0.99	0.0	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	32	33068754	34370091	487	0.99	0.0004623064117074	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	33	34375199	35190138	422	0.99	0.000667491252194	0.0						0.0	0.0	0.999999068064667	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	33	34375199	35190138	422	0.99	0.000667491252194	0.0						0.0	0.0	0.999999068064667	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	33	34375199	35190138	422	0.99	0.0	0.0						0.0	0.0	0.999999068064667	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	34	35205742	36847766	230	0.99	0.0002976864125686	0.000323137600453	-0.0002515909503071	-0.811181118111811	-1.0	0.542354235423542	0.322514663792783	0.0878325373714966	0.0275633564426821	0.999999619538993	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	34	35205742	36847766	230	0.99	0.0002976864125686	0.0						0.0878325373714966	0.0275633564426821	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	34	35205742	36847766	230	0.99	0.000323137600453	0.0						0.0878325373714966	0.0275633564426821	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	35	36858145	38465315	667	0.99	0.0003253865325209	0.0006803467128311	-0.0002088940262105	-0.443944394439444	-1.0	0.524152415241524	0.396923927864316	0.268788828305943	0.0090989093981178	0.999999239077987	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	35	36858145	38465315	667	0.99	0.0003253865325209	0.0						0.268788828305943	0.0090989093981178	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	35	36858145	38465315	667	0.99	0.0006803467128311	0.0						0.268788828305943	0.0090989093981178	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	36	38476519	40199854	575	0.99	0.000543673463004	0.0						0.0	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	36	38476519	40199854	575	0.99	0.000543673463004	0.0						0.0	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	36	38476519	40199854	575	0.99	0.0	0.0						0.0	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	37	40203722	41093830	300	0.99	0.0004453308604503	0.0						0.0610850072908765	0.999999461946885	0.999999534032333	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	37	40203722	41093830	300	0.99	0.0004453308604503	0.0						0.0610850072908765	0.999999461946885	0.999999534032333	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	37	40203722	41093830	300	0.99	0.0	0.0						0.0610850072908765	0.999999461946885	0.999999534032333	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	38	41093908	41976017	338	0.99	0.0	7.47276211170794e-05						0.999999730973442	0.0	0.398910242976832	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	38	41093908	41976017	338	0.99	0.0	1.18279020365192e-05						0.999999730973442	0.0	0.398910242976832	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	38	41093908	41976017	338	0.99	7.47276211170794e-05	1.18279020365192e-05	-2.97299677429179e-05	-1.0	-1.0	0.52995299529953	0.151087826014674	0.999999730973442	0.0	0.398910242976832	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-POAG	1	39	41984658	43507898	530	0.99	6.86044204599064e-05	0.0002401657310146	-0.0001283605499777	-1.0	-1.0	0.28972897289729	0.0995577569205207	0.599688528865596	0.246931924504259	0.999999341022206	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	39	41984658	43507898	530	0.99	6.86044204599064e-05	0.0						0.599688528865596	0.246931924504259	0.999999341022206	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	39	41984658	43507898	530	0.99	0.0002401657310146	0.0						0.599688528865596	0.246931924504259	0.999999341022206	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	40	43518830	45167143	630	0.99	9.91118343493098e-05	0.0001452730389547	-0.0001199928221699	-1.0	-1.0	0.652365236523652	0.18427489435113	0.66195247866214	0.0	0.0	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	40	43518830	45167143	630	0.99	9.91118343493098e-05	0.0						0.66195247866214	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	40	43518830	45167143	630	0.99	0.0001452730389547	0.0						0.66195247866214	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	41	45175925	47234335	606	0.99	0.0	0.0001146165642673						0.0	0.55075623285707	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	41	45175925	47234335	606	0.99	0.0	7.80710703428241e-06						0.0	0.55075623285707	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	41	45175925	47234335	606	0.99	0.0001146165642673	7.80710703428241e-06	-2.99136053516897e-05	-1.0	-1.0	0.32993299329933	0.109564937414358	0.0	0.55075623285707	0.0	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-POAG	1	42	47259138	48105228	327	0.99	8.00358813683872e-05	0.0						0.0	0.999999619538993	0.999999534032333	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	42	47259138	48105228	327	0.99	8.00358813683872e-05	0.0						0.0	0.999999619538993	0.999999534032333	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	42	47259138	48105228	327	0.99	0.0	0.0						0.0	0.999999619538993	0.999999534032333	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	43	48106092	49178446	442	0.99	0.0	0.0001476067246007						0.999999730973442	0.363053462180418	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	43	48106092	49178446	442	0.99	0.0	0.0						0.999999730973442	0.363053462180418	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	43	48106092	49178446	442	0.99	0.0001476067246007	0.0						0.999999730973442	0.363053462180418	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	44	49189775	51763952	477	0.99	0.0001668073595326	0.0						0.0	0.999999730973442	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	44	49189775	51763952	477	0.99	0.0001668073595326	0.0						0.0	0.999999730973442	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	44	49189775	51763952	477	0.99	0.0	0.0						0.0	0.999999730973442	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	45	51781211	53112410	237	0.99	0.0001084212606572	0.0						0.498089575149852	0.999999730973442	0.999999398438329	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	45	51781211	53112410	237	0.99	0.0001084212606572	0.0						0.498089575149852	0.999999730973442	0.999999398438329	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	45	51781211	53112410	237	0.99	0.0	0.0						0.498089575149852	0.999999730973442	0.999999398438329	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	46	53114318	54769756	602	0.99	0.0007257159936872	0.0005025570950932	0.0004925992114575	0.815581558155816	-0.0675067506750675	1.0	0.0688179945705994	0.0	0.046260457077966	0.999998993394793	True	0.48501551882126454	0.5223576126156921	POSITIVE_LOCAL_SHARING	
AMD-RE	1	46	53114318	54769756	602	0.99	0.0007257159936872	0.0						0.0	0.046260457077966	0.999998993394793	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	46	53114318	54769756	602	0.99	0.0005025570950932	0.0						0.0	0.046260457077966	0.999998993394793	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	47	54775203	55725200	394	0.99	0.0	0.0						0.999999068064667	0.999999461946885	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	47	54775203	55725200	394	0.99	0.0	0.0						0.999999068064667	0.999999461946885	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	47	54775203	55725200	394	0.99	0.0	0.0						0.999999068064667	0.999999461946885	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	48	55727195	56798123	550	0.99	0.0	0.0						0.999999619538993	0.999999398438329	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	48	55727195	56798123	550	0.99	0.0	0.0						0.999999619538993	0.999999398438329	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
