priority_rank	chr	start	end	region_id	trait_pair	h2_trait1	h2_trait2	local_covariance	local_rg	rg_lower	rg_upper	p	pair_fdr	global_fdr	direction	noukbb_stable	lava_support	global_leaveout_effect	warnings	phase2b_priority
1	1	200135564	201067784	chr1.154	AMD-RE	0.0003368450809782	2.86317826546464e-05	9.82062887337466e-05	1.0	-0.178717871787179	1.0	0.0789314332880746	0.6314514663045968	0.5223576126156921	POSITIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
2	9	116160220	117053273	chr9.89	AMD-RE	0.0012534623691051	1.24800654422258e-05	0.0001040006454301	0.831583158315832	-0.335733573357336	1.0	0.170962222247398	0.683848888989592	0.6212779839620222	POSITIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
3	12	13559539	14653867	chr12.15	AMD-RE	9.51520273938774e-05	1.01882257185061e-05	3.11356762037104e-05	1.0	-1.0	1.0	0.466773393542439	0.957798759968007	0.8092103335349138	POSITIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
4	3	190591911	191228990	chr3.167	AMD-RE	0.0005164703668669	2.16379029364372e-06	1.93517443405933e-05	0.578957895789579	-1.0	1.0	0.59434439743076	0.957798759968007	0.8602399293563704	POSITIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
5	6	7810021	9020424	chr6.8	AMD-RE	1.89512845087079e-05	1.15856772325217e-05	-1.48176740907464e-05	-1.0	-1.0	1.0	0.604040462405106	0.957798759968007	0.8602399293563704	NEGATIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
6	2	50757671	51666313	chr2.57	AMD-RE	1.15754502099752e-05	6.34890926284522e-06	-6.31606893709537e-06	-0.736773677367737	-1.0	1.0	0.830153261849187	0.957798759968007	0.9551524461712018	NEGATIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
7	18	2841862	3718160	chr18.4	AMD-RE	0.0004666231733727	0.246979104463741	-0.0019922670811041	-0.185518551855186	-0.913191319131913	0.904790479047905	0.912245068652232	0.957798759968007	0.9877875549288172	NEGATIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
8	10	133114209	133817742	chr10.122	AMD-RE	0.0009975165720605	5.85133157626191e-05	4.19758751757402e-06	0.0173017301730173	-0.586158615861586	0.598159815981598	0.957798759968007	0.957798759968007	0.9877875549288172	POSITIVE_LOCAL_SHARING	False	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
1	2	62430208	63669625	chr2.69	POAG-RE	2.21005427453747e-05	5.55993006361044e-06	-1.10850111426248e-05	-1.0	-1.0	1.0	0.278493630935711	0.754258038946884	0.7325593335482834	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
2	11	128266104	129447968	chr11.124	POAG-RE	0.0008800587781824	3.584745889097e-05	-7.68573857334008e-05	-0.432743274327433	-1.0	0.518151815181518	0.382651869282232	0.754258038946884	0.8092103335349138	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
3	10	78667191	79952934	chr10.73	POAG-RE	1.12694684052307e-05	1.52976297863866e-05	-1.31299716508681e-05	-1.0	-1.0	1.0	0.438118360560565	0.754258038946884	0.8092103335349138	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
4	4	31399060	32259530	chr4.34	POAG-RE	0.00014055083885	3.3541213215653e-07	6.8660364501711e-06	1.0	-1.0	1.0	0.502838692631256	0.754258038946884	0.8364663092061538	POSITIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
5	3	82538109	83515994	chr3.73	POAG-RE	3.80567374165542e-05	6.27880649912823e-06	4.55371693063332e-06	0.294529452945294	-1.0	1.0	0.841293003068171	0.938330768478586	0.9551524461712018	POSITIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
6	17	29783244	31318492	chr17.25	POAG-RE	4.53919682216883e-05	2.03183258900231e-05	4.71107251037401e-06	0.155115511551155	-1.0	1.0	0.938330768478586	0.938330768478586	0.9877875549288172	POSITIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
