trait	chr	region	start	end	n_snps	h2_local	se	p	likelihood_interval_lower	likelihood_interval_upper	warning	eligible_for_bivariate
AMD	1	39	41984658	43507898	530	6.86044204599064e-05		0.599688528865596				True
AMD	1	40	43518830	45167143	630	9.91118343493098e-05		0.66195247866214				True
AMD	1	41	45175925	47234335	606	0.0		0.0			nonpositive_local_h2	False
AMD	1	42	47259138	48105228	327	8.00358813683872e-05		0.0				True
AMD	1	43	48106092	49178446	442	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	1	44	49189775	51763952	477	0.0001668073595326		0.0				True
AMD	1	45	51781211	53112410	237	0.0001084212606572		0.498089575149852				True
AMD	1	46	53114318	54769756	602	0.0007257159936872		0.0				True
AMD	1	47	54775203	55725200	394	0.0		0.999999068064667			nonpositive_local_h2	False
AMD	1	48	55727195	56798123	550	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	1	49	56799799	57529551	362	0.0002904788213214		0.233400632362848				True
AMD	1	50	57529790	58387094	472	0.0003833597755014		0.223951651032026				True
AMD	1	51	58387807	59883358	730	0.0		0.999999239077987			nonpositive_local_h2	False
AMD	1	52	59891290	61376228	555	0.0001517859705799		0.665922842101836				True
AMD	1	53	61382409	62774288	611	0.0008010626762015		0.007878986159248				True
AMD	1	54	62782503	64343627	640	0.0		0.0			nonpositive_local_h2	False
AMD	1	55	64345659	65892888	647	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	1	56	65894342	66776954	344	0.0		0.0			nonpositive_local_h2	False
AMD	1	57	66778275	67760140	528	0.0002230763266773		0.0				True
AMD	1	58	67769006	68631792	407	0.000453942681357		0.0				True
AMD	1	59	68634642	69435479	269	0.0005094118297904		0.0782277811746479				True
AMD	1	60	69442664	70992015	510	0.0		0.0			nonpositive_local_h2	False
AMD	1	61	70993695	72512391	485	0.0001140399106788		0.349463948869413				True
AMD	1	62	72515717	73989854	328	0.0002422810649958		0.0				True
AMD	1	63	73993804	75127372	359	0.0		0.0			nonpositive_local_h2	False
AMD	1	64	75138762	76094234	342	0.0003815435018139		0.0392301524545177				True
AMD	1	65	76105757	76976522	399	0.0001293210276106		0.454855873093396				True
AMD	1	66	76978477	77889505	423	0.0		0.0			nonpositive_local_h2	False
AMD	1	67	77895517	79065052	330	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	1	68	79067549	80087456	374	0.0002206609348485		0.428035869838619				True
AMD	1	69	80101805	80772071	271	0.0		0.0			nonpositive_local_h2	False
AMD	1	70	80782665	82120122	579	0.0		0.999999341022206			nonpositive_local_h2	False
AMD	1	71	82123485	83461181	579	0.0		0.999999341022206			nonpositive_local_h2	False
AMD	1	72	83464725	84723109	481	1.51040191501925e-05		0.917752685487261				True
AMD	1	73	84728665	86014249	595	0.0003857898209631		0.0675141689731951				True
AMD	1	74	86017278	86760937	335	6.80338508813506e-05		0.0				True
AMD	1	75	86769951	87663215	311	0.0003890282117048		0.106131651384034				True
AMD	1	76	87667705	88651771	384	0.000246443427392		0.0				True
AMD	1	77	88657007	89748907	310	0.0004987568456123		0.0174264686544276				True
AMD	1	78	89759219	90940570	409	0.0001707786740616		0.0				True
AMD	1	79	90943526	91867046	348	0.0006283175798022		0.0235920313886191				True
AMD	1	80	91872374	92904381	441	0.0001733565062871		0.592832050269279				True
AMD	1	81	92924057	94160787	307	0.0		0.999999809769497			nonpositive_local_h2	False
AMD	1	82	94174519	95122518	426	0.0003779743033679		0.0437326580663913				True
AMD	1	83	95123749	96146782	482	0.0001158907174347		0.524833429802185				True
AMD	1	84	96151539	97720465	626	0.0		0.0			nonpositive_local_h2	False
AMD	1	85	97721392	99424931	640	0.0		0.0			nonpositive_local_h2	False
AMD	1	86	99425374	100268991	339	0.000365991745849		0.13334450362011				True
AMD	1	87	100271638	101188192	291	0.0001379302421402		0.608358683118413				True
AMD	1	88	101198708	102417093	540	1.6262299828883e-05		0.935623139779984				True
AMD	1	89	102425278	103145383	227	0.0		0.999999809769497			nonpositive_local_h2	False
AMD	1	90	103150463	103764640	205	0.0007228035354658		0.0249162813796102				True
AMD	1	91	104017778	104980964	220	0.000103582162573		0.291901390351205				True
AMD	1	92	104986052	106089142	336	9.17991713434037e-05		0.718555108799964				True
AMD	1	93	106091316	106861495	206	0.0		0.0			nonpositive_local_h2	False
AMD	1	94	106865224	107873815	383	0.0003140075081512		0.380642793606509				True
AMD	1	95	107874776	109271037	536	0.0		0.0			nonpositive_local_h2	False
AMD	1	96	109273610	110215178	377	0.0		0.0			nonpositive_local_h2	False
AMD	1	97	110233147	111131424	414	0.0004116584341946		0.0				True
AMD	1	98	111137811	112488820	752	0.0007910701917992		0.0168313828654257				True
AMD	1	99	112489832	113416122	364	0.0005193179727088		0.0410877416603166				True
AMD	1	100	113418834	114662870	455	0.0001018031787781		0.57253132549806				True
AMD	1	101	114664584	116206423	620	0.0001933339328619		0.410276030680608				True
AMD	1	102	116207484	117043044	318	0.0		0.999999398438329			nonpositive_local_h2	False
AMD	1	103	117049676	118118636	361	0.0		0.0			nonpositive_local_h2	False
AMD	1	104	118118765	119406760	438	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	1	105	119410215	120344900	353	0.0		0.0			nonpositive_local_h2	False
AMD	1	106	120347136	145730160	153	0.0		0.999999670511103			nonpositive_local_h2	False
AMD	1	107	146499296	147083744	275	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	1	108	147086504	147826658	157	9.8845537532016e-05		0.701425091362629				True
AMD	1	109	149778729	151144891	335	2.96398364610065e-06		0.0				True
AMD	1	110	151150857	152534954	413	9.59870900761978e-05		0.546158350238136				True
AMD	1	111	152536784	153408831	421	0.0002766050009078		0.116171378998263				True
AMD	1	112	153416036	154685541	399	0.0004483829539304		0.183886076280594				True
AMD	1	113	154685607	156809206	613	0.0018204248120715		9.64430562748066e-06				True
AMD	1	114	156818647	158074220	576	0.0003286045427986		0.23800326683738				True
AMD	1	115	158085565	158900275	376	0.0		0.0			nonpositive_local_h2	False
AMD	1	116	158901127	159880660	367	2.52810421067315e-05		0.905984838924679				True
AMD	1	117	159884109	161054054	497	0.000404581506571		0.147361359296616				True
AMD	1	118	161057909	161943634	331	0.000120899566097		0.614041530134008				True
AMD	1	119	161946727	163138501	645	0.0004007145197545		0.202678701352028				True
AMD	1	120	163142555	163854036	372	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	1	121	163855085	164723835	351	0.0009249295175398		0.0				True
AMD	1	122	164729434	165550009	503	0.0003431894314892		0.227706550481318				True
AMD	1	123	165554575	166457774	387	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	1	124	166458160	167160959	434	0.000205338451299		0.17733510317841				True
AMD	1	125	167168408	168169452	430	0.0003763796001545		0.147416964129381				True
AMD	1	126	168181725	169520688	651	0.000574111396935		0.113146985578538				True
AMD	1	127	169521853	170192022	348	0.0		0.999999670511103			nonpositive_local_h2	False
AMD	1	128	170195231	171040083	308	0.0001611156589144		0.0				True
AMD	1	129	171045317	172464899	711	0.0005182947735174		0.0356997852735236				True
AMD	1	130	172466509	173571432	332	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	1	131	173586804	175381926	613	0.0		0.0			nonpositive_local_h2	False
AMD	1	132	175386594	176449033	365	0.0		0.0			nonpositive_local_h2	False
AMD	1	133	176452220	177745454	549	0.0001444732836454		0.0				True
AMD	1	134	177747199	178913271	469	0.0		0.0			nonpositive_local_h2	False
AMD	1	135	178920026	180221084	586	0.0001600594905638		0.216932754652029				True
AMD	1	136	180225223	181322837	435	0.0		0.0			nonpositive_local_h2	False
AMD	1	137	181329186	182420448	489	0.0001657470492505		0.402091115567689				True
AMD	1	138	182422667	183918820	562	0.0002779715223633		0.299467997250014				True
AMD	1	139	183922435	184953041	449	0.000413759294251		0.43577729451421				True
AMD	1	140	184953113	186178238	328	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	1	141	186181646	187070355	314	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	1	142	187072660	187755025	312	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	1	143	187758485	188624613	360	0.0		0.0			nonpositive_local_h2	False
AMD	1	144	188626346	189903497	328	0.0		0.0			nonpositive_local_h2	False
AMD	1	145	189905175	191409975	541	0.0001314864703664		0.548271010479105				True
AMD	1	146	191420660	192462574	332	0.0		0.0			nonpositive_local_h2	False
AMD	1	147	192478874	193564821	329	0.0		0.0			nonpositive_local_h2	False
AMD	1	148	193583192	194365120	275	0.0001816015773111		0.0				True
AMD	1	149	194368842	195157535	273	0.0001505167669298		0.0				True
AMD	1	150	195164692	196172936	374	0.0010142432509737		0.711425047173129				True
AMD	1	151	196180201	197929497	429	0.0524068415104993		1.44804098363961e-19				True
AMD	1	152	197938330	199260653	425	0.0011064791355132		0.228127600356869				True
AMD	1	153	199265270	200132084	363	6.07896515866481e-05		0.0				True
AMD	1	154	200135564	201067784	416	0.0003368450809782		0.0				True
AMD	1	155	201068298	202570776	730	0.0		0.0			nonpositive_local_h2	False
AMD	1	156	202590813	204082938	622	0.0005279367373564		0.248948976453169				True
AMD	1	157	204094781	205004999	482	2.90220837900878e-06		0.988299311448516				True
AMD	1	158	205011659	205917503	447	9.17233999347943e-05		0.728068299469032				True
AMD	1	159	205921352	208158787	621	0.0010918875234911		0.000604294461215				True
AMD	1	160	208163349	209708608	749	0.0		0.0			nonpositive_local_h2	False
AMD	1	161	209712889	211082285	687	0.0004131749676636		0.0474408590384838				True
AMD	1	162	211088400	212347352	420	0.0		0.0			nonpositive_local_h2	False
AMD	1	163	212348372	213953479	624	0.0006665708923781		0.0271488706100459				True
AMD	1	164	213959095	214774522	396	0.0002058293197291		0.521971195396676				True
AMD	1	165	214786437	215825167	337	0.0001463240405883		0.610744833310736				True
AMD	1	166	215828499	216657848	415	0.0		0.0			nonpositive_local_h2	False
AMD	1	167	216665455	217352068	508	0.0		0.999999341022206			nonpositive_local_h2	False
AMD	1	168	217352414	218562868	544	1.63759616567501e-05		0.0				True
AMD	1	169	218573741	220069860	618	0.0		0.0			nonpositive_local_h2	False
AMD	1	170	220075257	220977965	300	0.0001361859448185		0.460777446610946				True
AMD	1	171	220979247	221855988	321	0.0002029039253506		0.342853492467667				True
AMD	1	172	221860183	222763026	365	8.63613417212668e-05		0.0				True
AMD	1	173	222766609	223653432	298	0.0001067482872542		0.602006270260099				True
AMD	1	174	223655061	224942850	438	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	1	175	224945297	226523560	492	2.60992420736395e-05		0.886256392842012				True
AMD	1	176	226539750	228045508	667	0.0005009934097838		0.251363208993966				True
AMD	1	177	228045748	229074968	333	0.0002481589428264		0.20607438443294				True
AMD	1	178	229076758	230221165	441	0.0002307153795381		0.326274311987377				True
AMD	1	179	230228980	231285646	631	0.0012348968693124		0.0057880797712662				True
AMD	1	180	231290987	232177487	372	2.4132207437799e-05		0.0				True
AMD	1	181	232180343	232953612	423	0.0005874447380824		0.20749612766719				True
AMD	1	182	232958333	233634596	334	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	1	183	233643110	234365086	361	1.19577624839227e-05		0.929758335652885				True
AMD	1	184	234370099	235097045	406	0.0005800059922733		0.0353651305434715				True
AMD	1	185	235099547	236198987	345	0.0002073378050917		0.481381749763649				True
AMD	1	186	236203911	237405093	631	0.0003539312650293		0.345367699919089				True
AMD	1	187	237411254	238094343	371	0.0001756037879877		0.505940500953284				True
AMD	1	188	238096886	238703197	262	0.0		0.0			nonpositive_local_h2	False
AMD	1	189	238705309	239327385	306	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	1	190	239332553	240243920	420	0.0004567194926827		0.0				True
AMD	1	191	240249082	241016693	452	0.0		0.999993877059565			nonpositive_local_h2	False
AMD	1	192	241034693	241812995	435	0.0001667905382671		0.539748169565573				True
AMD	1	193	241813771	242416045	297	0.0002219422596612		0.143680159331898				True
AMD	1	194	242419232	243044002	320	1.66499376070245e-06		0.0				True
AMD	1	195	243054702	244722668	541	0.0007319990335277		0.0059261972282723				True
AMD	1	196	244724092	245969011	556	1.87588491992195e-05		0.960276600895478				True
AMD	1	197	245973612	246603886	299	6.9804603188872e-05		0.750276952546725				True
AMD	1	198	246613039	247524963	365	0.0003181398147373		0.189084263492578				True
AMD	1	199	247535535	248340600	333	0.0002215201525828		0.335129364227071				True
AMD	1	200	248341792	249174682	174	0.0		0.999999809769497			nonpositive_local_h2	False
AMD	2	1	29443	788673	342	0.0001982198574373		0.152234035331961				True
AMD	2	2	792188	1376021	232	0.000276323680624		0.175949328411671				True
AMD	2	3	1376705	1871477	232	0.0		0.0			nonpositive_local_h2	False
AMD	2	4	1875792	2678138	387	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	2	5	2685473	3311400	313	7.06922002743213e-05		0.0				True
AMD	2	6	3320502	4014874	368	4.25924269159656e-05		0.836438495434691				True
AMD	2	7	4018661	4758795	287	0.0003586088830666		0.388464203979584				True
AMD	2	8	4767683	5564064	316	0.0001257871560559		0.570162449188228				True
AMD	2	9	5570049	6306541	397	0.0009780214230367		0.0356175857955833				True
AMD	2	10	6307291	7107455	410	0.0004101095558167		0.0919712287449022				True
AMD	2	11	7108212	7958572	376	0.0022262661341488		1.61500494434927e-05				True
AMD	2	12	7966977	8978676	411	0.0		0.999999239077987			nonpositive_local_h2	False
AMD	2	13	8979659	9957097	373	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	2	14	9964947	10611211	341	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	2	15	10612091	11229946	344	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	16	11233323	11992128	287	0.000438793721134		0.165353322871058				True
AMD	2	17	11996680	12729769	394	6.70292893319092e-05		0.722078448154273				True
AMD	2	18	12732821	13623160	325	1.57956589859987e-05		0.91438415576105				True
AMD	2	19	13626114	14691935	389	0.0002646589828938		0.310501951484986				True
AMD	2	20	14692761	15719207	397	0.0		0.0			nonpositive_local_h2	False
AMD	2	21	15722503	17232378	621	0.0005925178259469		0.102238752665227				True
AMD	2	22	17247134	18656321	602	0.0002593251654464		0.0				True
AMD	2	23	18663811	20064337	666	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	2	24	20067295	21084332	487	0.0		0.0			nonpositive_local_h2	False
AMD	2	25	21086693	22426074	297	0.0002201660713836		0.0				True
AMD	2	26	22430795	23527304	450	0.0		0.999999341022206			nonpositive_local_h2	False
AMD	2	27	23538632	24665131	395	0.0003212904557351		0.170890372963433				True
AMD	2	28	24672098	25893740	351	7.11711155760284e-05		0.817771597233565				True
AMD	2	29	25902823	26892931	298	0.0		0.0			nonpositive_local_h2	False
AMD	2	30	26897501	28818931	585	0.0007644887816453		0.0606800810875082				True
AMD	2	31	28820641	29627861	435	0.0005804098899966		0.032370185255524				True
AMD	2	32	29637040	30564611	436	5.40623025231986e-05		0.0				True
AMD	2	33	30577757	31455227	486	0.0		0.999999149263327			nonpositive_local_h2	False
AMD	2	34	31459744	33122143	526	1.77754279136456e-06		0.98492273094065				True
AMD	2	35	33123726	33734126	324	0.0		0.999999149263327			nonpositive_local_h2	False
AMD	2	36	33736077	34238969	285	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	37	34242891	34889395	277	0.0		0.0			nonpositive_local_h2	False
AMD	2	38	34891689	35606754	264	2.55744732412741e-05		0.0				True
AMD	2	39	35612621	36120658	267	0.0001239993876459		0.383065746130996				True
AMD	2	40	36120755	36862817	428	6.99503722238118e-05		0.676192444085723				True
AMD	2	41	36874250	37603248	295	1.3763928836344e-05		0.921355628051672				True
AMD	2	42	37603385	38881106	654	0.0002558900378478		0.0				True
AMD	2	43	38893660	40087025	304	5.10688592588177e-05		0.686393865211167				True
AMD	2	44	40089510	40783776	393	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	45	40786281	41540405	274	0.0006690738611382		0.0336654991846449				True
AMD	2	46	41540966	42307395	428	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	2	47	42307450	43292832	451	0.0009255020167759		0.0310649461791172				True
AMD	2	48	43299383	44104067	355	0.0005035964525222		0.0106714830628197				True
AMD	2	49	44104925	45189011	490	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	50	45189763	45844714	351	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	2	51	45850077	46492759	453	0.0003494332514723		0.0				True
AMD	2	52	46502979	47319320	444	0.0		0.0			nonpositive_local_h2	False
AMD	2	53	47320846	48167631	316	0.0003593457914992		0.145852621041144				True
AMD	2	54	48174157	49112501	358	0.0		0.0			nonpositive_local_h2	False
AMD	2	55	49114231	49849103	386	0.0		0.0			nonpositive_local_h2	False
AMD	2	56	49849268	50754813	429	2.58980295168335e-05		0.0				True
AMD	2	57	50757671	51666313	404	1.15754502099752e-05		0.0				True
AMD	2	58	51673576	52490535	341	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	2	59	52495799	53030336	307	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	2	60	53034853	53852102	405	0.0002919633984614		0.418022421208358				True
AMD	2	61	53852235	54684557	332	0.0005320130749789		0.0336235565153079				True
AMD	2	62	54690542	55662398	488	0.0		0.0			nonpositive_local_h2	False
AMD	2	63	55664121	56394464	304	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	2	64	56394879	57428060	389	0.0		0.0			nonpositive_local_h2	False
AMD	2	65	57435578	57952870	221	0.0		0.0			nonpositive_local_h2	False
AMD	2	66	57961229	59242603	450	0.0001785118269193		0.290732257303066				True
AMD	2	67	59257567	60774773	710	0.0004781570512223		0.0740453320811198				True
AMD	2	68	60783572	62418558	456	6.42676267282169e-05		0.631899728887558				True
AMD	2	69	62430208	63669625	374	3.65219165558267e-05		0.757097415571395				True
AMD	2	70	63678069	64693013	321	0.0002094914493217		0.207313429296352				True
AMD	2	71	64696502	65937745	472	0.000262309279247		0.257107108797511				True
AMD	2	72	65938598	67223326	589	0.0004404591695571		0.252879474149133				True
AMD	2	73	67224057	67978287	442	0.0		0.0			nonpositive_local_h2	False
AMD	2	74	67985674	68869456	374	0.0001755699345234		0.509367054858197				True
AMD	2	75	68880436	70756057	782	0.0005418164192663		0.0066450899886139				True
AMD	2	76	70757358	71382495	333	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	77	71400203	72156426	319	0.0005723541664817		0.105431865525032				True
AMD	2	78	72161465	73542685	354	0.000288031081067		0.0				True
AMD	2	79	73552542	75146521	508	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	80	75148429	75940599	412	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	81	75942725	76643267	277	0.0002836827571307		0.293433589379288				True
AMD	2	82	76649870	77360974	332	0.0001873818926061		0.552839596952977				True
AMD	2	83	77377167	78075083	235	0.0		0.999999398438329			nonpositive_local_h2	False
AMD	2	84	78085004	79013457	313	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	85	79021429	79898937	531	0.000423533132298		0.213105542929182				True
AMD	2	86	79902900	80736075	469	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	2	87	80743194	81614229	268	0.0002172157719444		0.380961550963424				True
AMD	2	88	81623974	82941446	394	1.21073241185472e-05		0.937777812313547				True
AMD	2	89	82941825	84385564	396	5.30616530979147e-05		0.0				True
AMD	2	90	84400853	85990847	562	0.000677492474554		0.0				True
AMD	2	91	85995648	86857824	364	0.0		0.999999809769497			nonpositive_local_h2	False
AMD	2	92	86872592	88541315	202	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	2	93	88549952	90112745	153	0.0		0.0			nonpositive_local_h2	False
AMD	2	94	92051490	97333492	220	0.0001203001804443		0.589577150133272				True
AMD	2	95	97339781	98989062	309	0.0006687828760736		0.12761300317962				True
AMD	2	96	98989700	100195156	328	0.0		0.0			nonpositive_local_h2	False
AMD	2	97	100204049	101552095	548	0.0		0.0			nonpositive_local_h2	False
AMD	2	98	101557566	102481023	318	0.00063848012537		0.115559441647287				True
AMD	2	99	102495917	103302367	461	0.0003755770732344		0.336659468024303				True
AMD	2	100	103313018	105118594	451	0.0		0.0			nonpositive_local_h2	False
AMD	2	101	105132332	106541229	669	0.0006803145270259		0.0				True
AMD	2	102	106550301	107411613	295	0.0013824725621889		0.0				True
AMD	2	103	107415763	108415702	372	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	2	104	108422810	110096179	556	8.6605115277338e-06		0.967537587766612				True
AMD	2	105	110102339	112641666	448	0.0010939144676013		0.0003430887313421				True
AMD	2	106	112649794	113925061	582	0.0003684660336721		0.0639834919009812				True
AMD	2	107	113932431	115202256	359	0.0001101522639771		0.506564143922671				True
AMD	2	108	115203917	116415803	380	0.0003660884291368		0.147809246229201				True
AMD	2	109	116419064	117820944	403	0.0021074804580331		0.0				True
AMD	2	110	117822575	118649429	304	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	111	118666409	119628722	410	0.0		0.0			nonpositive_local_h2	False
AMD	2	112	119639040	121070811	470	0.0		0.0			nonpositive_local_h2	False
AMD	2	113	121081469	122007858	341	0.0004440713762343		0.319167781870245				True
AMD	2	114	122031769	123218071	367	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	2	115	123224400	123929100	260	2.91884417958862e-05		0.7777728866524				True
AMD	2	116	123929932	124724550	282	0.0		0.0			nonpositive_local_h2	False
AMD	2	117	124739150	125669565	419	0.0007770449258164		0.0436565436250943				True
AMD	2	118	125741700	126752882	316	0.0		0.999999730973442			nonpositive_local_h2	False
AMD	2	119	126757757	127895573	417	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	2	120	127897320	129483106	545	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	2	121	129488506	130483910	429	0.0		0.0			nonpositive_local_h2	False
AMD	2	122	130489419	131756501	179	0.000135193913573		0.397874402774263				True
AMD	2	123	131763953	132595263	134	0.0001893784388944		0.242939573485335				True
AMD	2	124	132637483	133351703	162	0.0002856662496539		0.106556678063935				True
AMD	2	125	133353827	134356844	418	0.0		0.999999239077987			nonpositive_local_h2	False
AMD	2	126	134363032	135158254	433	0.0002514901169358		0.317453308251556				True
AMD	2	127	135160755	137059906	512	9.25089135232538e-05		0.468596629674012				True
AMD	2	128	137061077	138073500	471	0.0		0.0			nonpositive_local_h2	False
AMD	2	129	138073795	139505771	471	0.0001931016335404		0.538269507039977				True
AMD	2	130	139505868	140931289	528	0.0		0.0			nonpositive_local_h2	False
AMD	2	131	140934990	141801011	384	0.0		0.0			nonpositive_local_h2	False
AMD	2	132	141803496	142491507	347	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	133	142495019	143247203	348	1.65207750006949e-05		0.923432386905302				True
AMD	2	134	143261959	144503445	413	0.0002414527449456		0.316290361443818				True
AMD	2	135	144503694	145976895	370	0.0002650689868889		0.234730778924849				True
AMD	2	136	145977991	147242774	309	0.0004808580641866		0.165997166721726				True
AMD	2	137	147262273	149568729	573	0.0		0.999999341022206			nonpositive_local_h2	False
AMD	2	138	149573090	151424784	557	0.0004119108762485		0.0				True
AMD	2	139	151429031	152496526	456	1.37836758024874e-05		0.0				True
AMD	2	140	152499580	153999220	556	1.35383996220134e-05		0.949327459083401				True
AMD	2	141	154002152	155206097	466	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	2	142	155211804	156130909	327	0.0001278940338818		0.455574483761812				True
AMD	2	143	156132155	157552987	439	4.09542430046984e-05		0.883245306372971				True
AMD	2	144	157565192	159038336	334	0.0002974760163441		0.121318614540803				True
AMD	2	145	159044007	160186901	482	0.0005561448515949		0.0933964737050364				True
AMD	2	146	160201955	161431604	454	2.40346365123829e-05		0.820190528866898				True
AMD	2	147	161437218	163604529	587	0.000540278453535		0.0				True
AMD	2	148	163623169	164701057	268	0.0001006695125579		0.635779432110465				True
AMD	2	149	164703935	165913564	382	0.0		0.999999192920327			nonpositive_local_h2	False
AMD	2	150	165926663	167484730	622	0.0		0.999999341022206			nonpositive_local_h2	False
AMD	2	151	167490384	168427789	243	0.0		0.0			nonpositive_local_h2	False
AMD	2	152	168438360	169224341	343	0.0002985448618245		0.156418278307732				True
AMD	2	153	169224527	170155322	427	0.0002476886046723		0.309881279509605				True
AMD	2	154	170156880	170863922	256	0.0005455927198869		0.141524159300252				True
AMD	2	155	170865808	171565049	365	9.45046580811526e-05		0.617989457244239				True
AMD	2	156	171566925	172495507	299	0.0		0.0			nonpositive_local_h2	False
AMD	2	157	172510069	173287832	307	0.0		0.0			nonpositive_local_h2	False
AMD	2	158	173289239	174117020	339	0.0		0.999999534032333			nonpositive_local_h2	False
AMD	2	159	174120039	174926751	327	0.0		0.0			nonpositive_local_h2	False
AMD	2	160	174928385	176734022	609	0.0		0.999993912623895			nonpositive_local_h2	False
AMD	2	161	176735728	178149364	588	0.0		0.0			nonpositive_local_h2	False
AMD	2	162	178151626	179216367	431	0.0		0.0			nonpositive_local_h2	False
